"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date"
NA,7,"21-781180",469,"INC","S","1158  W 10Th St ","Pomona",6,"3.00 (0 0 0 0)","1,904","$365.02","$695,000","$695,000","","9,311",1965,45,3,"02/07/2022"
NA,10,"21-789932",1543,"INC","S","716  W Phillips ST ","ONTARIO",30,"45.00 (0 0 0 0)","17,070","$301.70","$5,150,000","$5,250,000","","46,282",1984,87,15,"12/29/2021"
NA,20,"22-127753",1543,"INC","S","1225  N EL DORADO AVE ","ONTARIO",16,"22.00 (0 0 0 0)","11,168","$353.69","$3,950,000","$3,750,000","","28,416",1968,48,17,"06/06/2022"
NA,18,"22-128131",1795,"INC","S","455  S CAMPUS AVE ","UPLAND",26,"26.00 (0 0 0 0)","16,388","$292.90","$4,800,000","$4,582,644","","31,500",1986,4,18,"04/22/2022"
NA,5,"22-134455",1543,"INC","S","827  N PALMETTO AVE ","ONTARIO",17,"14.00 (0 0 0 0)","10,210","$342.80","$3,500,000","$3,500,000","","12,640",1966,61,14,"05/21/2022"
NA,39,"22-154355",1455,"INC","S","4661   KINGSLEY ST ","MONTCLAIR",4,"2.00 (0 0 0 0)","1,728","$436.92","$755,000","$735,000","","7,137",1964,136,2,"10/26/2022"
NA,25,"22-160265",1455,"INC","S","5125   BANDERA ST #A-L","MONTCLAIR",24,"12.00 (0 0 0 0)","10,044","$433.09","$4,350,000","$4,321,500","","30,800",1963,147,12,"11/02/2022"
NA,17,"22-190707",1795,"INC","S","165   Wiseman Way ","Upland",10,"6.00 (0 0 0 0)","4,109","$350.21","$1,439,000","$1,363,000","","16,861",1985,28,4,"10/27/2022"
NA,1,"220002580SD",469,"INC","S","826   Gordon St ","Pomona",5,"3.00 (0 0 0 0)","","$0","$649,900","$570,000","","13,096",NA,7,2,"03/03/2022"
NA,34,"6600PF",1543,"INC","S","522  E State ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,312","$342.99","$450,000","$450,000","$0.00","6,160",1924,91,2,"01/28/2022"
NA,31,"81941401ML",2081,"INC","S","1185  S Towne AVE ","Pomona",NA," (0 0 0 0)","7,266","$109.96","$799,000","$820,000","","7,266",NA,23,NA,"10/24/2023"
NA,2,"AR21081259MR",1543,"INC","S","10792   Grand AVE ","ONTARIO",2,"2.00 (2 0 0 0)","1,260","$341.09","$429,777","$300,000","$0.00","6,250",1925,40,NA,"07/02/2021"
NA,5,"AR21188002MR",1543,"INC","S","1020  W F ST ","ONTARIO",NA,"6.00 (0 0 0 0)","4,868","$307.72","$1,498,000","$1,450,000","$0.00","10,125",1957,47,6,"11/17/2021"
NA,1,"AR21196297MR",1795,"INC","S","591  E 9th St ","UPLAND",NA," (0 0 0 0)","1,040","$552.88","$575,000","$575,000","","8,418",1926,17,2,"10/18/2021"
NA,16,"AR21246835MR",469,"INC","S","685   Abbey LN ","POMONA",NA,"4.00 (0 0 0 0)","3,592","$300.67","$1,080,000","$1,080,000","","7,470",1961,76,4,"03/26/2022"
