"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","4","17-219762","469","INC","S","351  N MAIN ST ","POMONA","10","4.00 (0 0 0 0)","2,396","$233.72","$560,000","$550,000","","6,715","1902","271","1","03/26/2018"
"","10","17-219798","469","INC","S","1294  N PARK AVE ","POMONA","8","3.00 (0 0 0 0)","1,661","$285.97","$475,000","$450,000","","7,085","1897","110","1","01/09/2018"
"","3","17-255674","1543","INC","S","1114  W RALSTON ST ","ONTARIO","0","0.00 (0 0 0 0)","3,144","$162.21","$510,000","$545,000","","8,100","1979","14","3","04/18/2018"
"","26","18-313634","469","INC","S","414  E CENTER ST ","POMONA","4","3.00 (0 0 0 0)","1,771","$293.62","$520,000","$505,000","","7,573","1890","48","3","04/04/2018"
"","12","18-330782","469","INC","S","2422   CHANSLOR ST ","POMONA","8","5.00 (0 0 0 0)","3,916","$183.86","$720,000","$729,000","","7,004","1964","26","4","05/03/2018"
"","14","18-373144","469","INC","S","1440  N GORDON ST ","POMONA","6","3.00 (0 0 0 0)","1,971","$272.96","$538,000","$520,000","","7,667","1910","15","0","10/05/2018"
"","3","18-375980","1543","INC","S","212  E F ST ","ONTARIO","3","2.00 (0 0 0 0)","1,470","$285.71","$420,000","$410,000","","8,496","1956","27","2","10/12/2018"
"","1","18-402194","469","INC","S","237  S HAMILTON  ","POMONA","4","2.00 (0 0 0 0)","2,130","$244.13","$520,000","$515,000","","3,778","1912","59","2","12/28/2018"
"","41","18-413182","1543","INC","S","3123   JAGUAR WAY ","ONTARIO","10","6.50 (0 0 0 0)","3,950","$240.25","$949,000","$985,000","","12,246","","10","4","01/25/2019"
"","27","18-414916","1627","INC","S","8778   LOMITA DR ","ALTA LOMA","9","6.00 (0 0 0 0)","3,598","$254.31","$915,000","$905,000","","9,000","1973","45","4","03/10/2019"
"","25","180065194MR","2081","INC","S","1205   Upland Hills Dr S  #S","UPLAND","3","2.00 (2 0 0 0)","1,685","$331.75","$559,000","$560,639","$315.00","2,000","1988","6","280","12/21/2018"
"","23","19-474808","469","INC","S","601   WISCONSIN ST ","POMONA","23","23.00 (0 0 0 0)","12,915","$255.52","$3,300,000","$3,300,000","","19,981","1963","9","15","08/12/2019"
"","15","19-515196","1627","INC","S","8231   TAPIA VIA DR ","RANCHO CUCAMONGA","12","6.00 (0 0 0 0)","5,508","$307.73","$1,695,000","$1,610,000","","9,000","1963","49","6","01/02/2020"
"","25","190043862MR","1455","INC","S","5214   Bandera St ","MONTCLAIR","","2.00 (0 0 0 0)","","$0","$420,000","$405,000","$0.00","7,722","1960","77","2","01/09/2020"
"","11","20-581892","469","INC","S","200  W ARROW HWY ","POMONA","4","2.00 (0 0 0 0)","864","$462.96","$400,000","$580,000","","14,195","1931","0","2","10/15/2020"
"","19","20-655348","1455","INC","S","10285   Poulsen Ave ","MONTCLAIR","","6.00 (0 0 0 0)","","$0","$950,000","$950,000","","8,105","","36","2","02/04/2021"
"","25","200014739SD","469","INC","S","878   Hawthorne Pl ","Pomona","3","2.00 (0 0 0 0)","","$0","$589,000","$569,000","","6,754","1948","29","2","10/11/2020"
"","8","21-691680","1543","INC","S","5353   Rose Ln ","Ontario","0","0.00 (0 0 0 0)","2,439","$286.59","$699,000","$700,000","","9,996","1952","51","4","05/05/2021"
"","10","21-722158","1455","INC","S","10374   Marion Ave ","Montclair","6","6.00 (0 0 0 0)","3,200","$293.75","$940,000","$940,000","","8,050","2017","0","2","05/10/2021"
"","5","320005270IT","1455","INC","S","10311   KIMBERLY Avenue ","MONTCLAIR","4","2.00 (2 0 0 0)","1,800","$325","$585,000","$585,000","","7,274","1964","15","2","05/24/2021"
"","4","818003278IT","469","INC","S","404   CHESTER PL ","Pomona","3","3.00 (3 0 0 0)","1,632","$323.53","$528,000","$460,000","$0.00","6,538","1938","15","3","07/22/2018"
"","48","818003756PF","487","INC","S","1017   Yale AVE ","CLAREMONT","","4.00 (0 0 0 0)","","$0","$899,000","$1,036,000","","8,500","1926","46","2","04/09/2020"
"","1","819000902PF","1455","INC","S","4752   Canoga ST ","MONTCLAIR","8","8.00 (0 0 0 0)","","$0","$849,000","$860,000","$0.00","7,560","1964","39","4","04/09/2020"
"","7","819002494PF","469","INC","S","804  N Huntington BLVD ","POMONA","4","2.00 (0 0 0 0)","","$0","$499,999","$540,000","$0.00","3,350","1928","17","2","04/09/2020"
