"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","05/23/2024","Leased","49","24-366879","1640","LSE","LD","711   Church Pl #2","Redlands","3","3.00 (2 0 1 0)","1,406","$2.13","$3,000","$4,000","","1,406","1986","62"
"","08/30/2024","Leased","12","CV24001116MR","1382","LSE","LD","25432   Cole  #2","LOMA LINDA","2","3.00 (2 0 1 0)","1,400","$1.79","$2,500","$2,500","$0.00","16,306","2016","155"
"","04/15/2024","Leased","1","CV24072462MR","1382","LSE","LD","25571   Prospect AVE ","LOMA LINDA","3","3.00 (3 0 0 0)","1,320","$2.05","$2,700","$2,600","","1,500","2001","4"
"","07/16/2024","Leased","27","CV24105463MR","1640","LSE","LD","1510   Orange AVE #205","REDLANDS","2","3.00 (2 0 1 0)","1,306","$2.07","$2,700","$2,700","","1,034","2009","20"
"","07/28/2024","Leased","30","CV24124919MR","1640","LSE","LD","1510   Orange AVE #1102","REDLANDS","3","3.00 (2 0 1 0)","1,600","$1.94","$3,100","$3,100","","1,141","2009","39"
"","10/01/2024","Leased","19","CV24168084MR","1382","LSE","LD","26149   Park AVE #17","LOMA LINDA","4","3.00 (3 0 0 0)","1,538","$2.18","$3,350","$3,350","$180.00","800","2022","43"
"","10/15/2024","Leased","29","CV24173922MR","1640","LSE","LD","1510   Orange AVE #902","REDLANDS","3","3.00 (2 0 1 0)","1,600","$1.94","$3,100","$3,000","","1,143","2011","43"
"","11/29/2024","Leased","6","CV24175455MR","1431","LSE","LD","2227   Mentone  ","MENTONE","2","1.00 (1 0 0 0)","850","$2.18","$1,850","$1,850","$0.00","57,484","1958","90"
"","11/17/2024","Leased","4","CV24175540MR","1431","LSE","LD","2227   Mentone BLVD ","MENTONE","2","1.00 (1 0 0 0)","850","$2.06","$1,750","$1,750","$0.00","57,484","1958","86"
"","12/10/2024","Leased","18","CV24239929MR","1640","LSE","LD","1016   Oxford DR ","REDLANDS","2","2.00 (2 0 0 0)","4,360","$0.44","$1,925","$1,925","$0.00","12,586","1965","6"
"","05/11/2024","Leased","10","DW24083769MR","1640","LSE","LD","423  W Sun AVE ","REDLANDS","1","1.00 (1 0 0 0)","600","$2.83","$1,700","$1,700","$0.00","6,731","1901","13"
"","02/15/2024","Leased","9","EV23212907MR","1640","LSE","LD","532  E Lugonia AVE #D","REDLANDS","2","1.00 (1 0 0 0)","900","$1.94","$1,750","$1,750","","12,015","1985","89"
"","02/01/2024","Leased","13","EV23218992MR","1640","LSE","LD","357  W Grant ST #A","REDLANDS","1","1.00 (1 0 0 0)","750","$2.13","$1,600","$1,600","$0.00","5,850","1950","35"
"","02/07/2024","Leased","16","EV23221203MR","1431","LSE","LD","1365   Crafton AVE #2075","MENTONE","3","2.00 (2 0 0 0)","944","$2.17","$2,050","$2,050","","1,104","1991","35"
"","01/15/2024","Leased","11","EV24002298MR","1640","LSE","LD","24  W Olive AVE ","REDLANDS","1","1.00 (1 0 0 0)","550","$3.08","$1,695","$1,650","$0.00","10,200","1929","11"
"","01/15/2024","Leased","16","EV24002719MR","1640","LSE","LD","26200   Redlands BLVD #9","REDLANDS","1","1.00 (1 0 0 0)","715","$2.17","$1,550","$1,550","","3,268","1981","10"
