"Open Houses","Change Date","Change Type","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","09/02/2023","Leased","26","23-304027","1543","LSE","LD","1429  N Elderberry Ave ","Ontario","3","2.00 (2 0 0 0)","1,176","$2.30","$2,700","$2,700","","1,176","1978","8"
"","03/25/2024","Leased","23","24-364753","1627","LSE","LD","11450   Church St #102","Rancho Cucamonga","2","1.00 (1 0 0 0)","1,092","$2.63","$2,875","$2,875","","1,092","2004","21"
"","06/09/2024","Leased","9","24-398294","1795","LSE","LD","576  E 11th St #578","Upland","2","1.00 (1 0 0 0)","2,284","$0.96","$2,200","$2,200","","7,450","","8"
"","06/01/2023","Leased","16","AR23058700MR","1543","LSE","LD","751   Corvette DR #4","ONTARIO","3","2.00 (1 0 1 0)","1,200","$2.08","$2,500","$2,500","","9,956","1987","46"
"","06/07/2023","Leased","10","AR23060175MR","469","LSE","LD","1153  S Reservoir ST ","POMONA","3","2.00 (2 0 0 0)","1,522","$1.81","$2,750","$2,750","","84,986","1989","45"
"","06/20/2023","Leased","17","AR23078404MR","1543","LSE","LD","1941  E Olive ST ","ONTARIO","3","2.00 (1 1 0 0)","1,227","$2.16","$2,650","$2,650","","1,227","1984","16"
"","06/18/2023","Leased","11","AR23091369MR","469","LSE","LD","1955   Oakwood WAY ","POMONA","3","3.00 (3 0 0 0)","1,616","$1.79","$2,900","$2,900","","35,901","2007","17"
"","06/22/2023","Leased","20","AR23095582MR","469","LSE","LD","2863   Cedar LN ","POMONA","3","4.00 (2 0 2 0)","1,850","$1.62","$3,000","$3,000","$0.00","31,021","2018","15"
"","07/31/2023","Leased","11","AR23108508MR","1795","LSE","LD","139   Sinclair AVE #2","UPLAND","2","1.00 (1 0 0 0)","882","$2.60","$2,290","$2,290","","400","1971","33"
"","08/02/2023","Leased","15","AR23115823MR","487","LSE","LD","631   Harvard AVE #1","CLAREMONT","3","2.00 (1 1 0 0)","1,428","$1.96","$2,800","$2,800","$0.00","7,700","1964","22"
"","08/21/2023","Leased","15","AR23137800MR","487","LSE","LD","787   Danville DR ","CLAREMONT","2","2.00 (2 0 0 0)","1,177","$2.29","$2,700","$2,700","","1,237","1985","18"
"","08/10/2023","Leased","20","AR23142660MR","469","LSE","LD","175   Whitney AVE #3","POMONA","2","2.00 (2 0 0 0)","872","$2.58","$2,250","$2,250","$0.00","64,042","1980","4"
"","08/10/2023","Leased","1","AR23149363MR","469","LSE","LD","831   Sunburst WAY #13","POMONA","3","4.00 (3 0 1 0)","1,850","$1.73","$3,200","$3,200","","28,108","2016","0"
"","11/20/2023","Leased","22","AR23167916MR","1627","LSE","LD","8407   Spring Desert PL #H","RANCHO CUCAMONGA","2","2.00 (2 0 0 0)","1,010","$2.67","$2,700","$2,700","","1,010","1986","69"
"","10/18/2023","Leased","10","AR23174358MR","469","LSE","LD","1157  E Pasadena ST #3","POMONA","2","1.00 (1 0 0 0)","600","$2.83","$1,700","$1,700","$0.00","10,931","1954","25"
"","12/20/2023","Leased","15","AR23209656MR","1543","LSE","LD","2029  S Campus Ave #G43","ONTARIO","2","1.00 (1 0 0 0)","1,218","$1.77","$2,150","$2,000","","1,234","1981","40"
