Open.Houses,Change.Date,Change.Type,Photo,MLS,AR,Type,S,Address,City,BR,Baths.FTHQ.,SqFt,LP...SqFt,LP,SP,HOD,Lot.Sz,YB,DOM,latitude,longitude,unit_count
,02/27/2020,Leased,49.0,320000167IT,1627,LSE,LD,7667   HAVEN AVE #A,Rancho Cucamonga,2,2.00 (2 0 0 0),832,$2.46,"$2,050","$2,050",$0.00,"2,000",1991.0,30,34.1147479,-117.5757699,
,07/31/2019,Leased,56.0,819002373IT,1455,LSE,LD,10998   SAN JUAN WAY ,Montclair,3,2.00 (2 0 0 0),1224,$1.72,"$2,100","$2,100",$220.00,"1,307",1985.0,10,34.0538955,-117.6925567,
,04/09/2020,Leased,27.0,819002423PF,1627,LSE,LD,7344   Greenhaven AVE #U19,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),832,$1.98,"$1,650","$1,650",,"2,657",1990.0,12,34.120586,-117.5745235,
,04/09/2020,Leased,12.0,819003032PF,1795,LSE,LD,831   pebble beach DR ,UPLAND,3,2.00 (1 1 0 0),1776,$1.35,"$2,400","$2,400",,"2,305",1982.0,77,34.1245321,-117.6414946,
,11/19/2019,Leased,12.0,819005207IT,1795,LSE,LD,831   PEBBLE BEACH DR ,Upland,3,2.00 (1 1 0 0),1776,$1.35,"$2,400","$2,400",$0.00,"2,305",1982.0,5,34.1245321,-117.6414946,
,05/22/2020,Leased,24.0,820001550PF,1543,LSE,LD,1208  S Cypress Ave #F,ONTARIO,2,2.00 (1 0 1 0),1254,$1.43,"$1,795","$1,795",$340.00,0,1981.0,7,34.050848,-117.663365,
,06/03/2019,Leased,28.0,AR19088553MR,1627,LSE,LD,8167   Vineyard AVE #54,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1086,$1.61,"$1,750","$1,750",,"1,086",1987.0,45,34.104955,-117.6109537,
,06/28/2019,Leased,24.0,AR19098621MR,1627,LSE,LD,10375   Church ST #106,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1692,$1.36,"$2,300","$2,300",,"2,000",2008.0,49,34.114177,-117.5781782,
,05/18/2020,Leased,25.0,AR19130584MR,1543,LSE,LD,1307  N Elderberry AVE ,ONTARIO,3,3.00 (2 0 1 0),1243,$1.53,"$1,900","$1,900",,"1,243",1978.0,17,34.0817128,-117.6741342,
,09/23/2019,Leased,4.0,AR19175297MR,487,LSE,LD,631   HARVARD AVE #2,CLAREMONT,3,2.00 (2 0 0 0),1428,$1.61,"$2,300","$2,300",$0.00,"7,700",1964.0,50,34.0999997,-117.7167758,
,09/13/2019,Leased,18.0,AR19197829MR,469,LSE,LD,726   Banyan  ,POMONA,3,3.00 (2 0 1 0),1535,$1.56,"$2,400","$2,400",,"32,011",2018.0,25,,,
,09/29/2019,Leased,13.0,AR19198039MR,1795,LSE,LD,118   Eureka PL ,UPLAND,2,2.00 (2 0 0 0),923,$2.17,"$2,000","$2,000",,"1,000",2017.0,57,34.094148,-117.645757,
,09/20/2019,Leased,3.0,AR19201767MR,1627,LSE,LD,7375   STONEBROOK PL ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1248,$1.84,"$2,300","$2,250",,"1,640",1994.0,29,34.1202906,-117.5514329,
,12/20/2019,Leased,14.0,AR19211113MR,469,LSE,LD,176   Whitney AVE #4,POMONA,2,1.00 (1 0 0 0),933,$1.66,"$1,550","$1,550",,"95,949",1980.0,71,34.1024358,-117.7505728,
,10/18/2019,Leased,10.0,AR19225079MR,469,LSE,LD,1516   Cobblestone LN ,POMONA,3,3.00 (1 1 1 0),1599,$1.31,"$2,100","$2,100",,"48,139",2006.0,28,34.0784477,-117.7203417,
,12/18/2019,Leased,4.0,AR19251789MR,1455,LSE,LD,8861   Ash  ,MONTCLAIR,2,1.00 (1 0 0 0),1350,$1.41,"$1,905","$1,905",,,2018.0,75,,,
,11/27/2019,Leased,35.0,AR19265111MR,1543,LSE,LD,2829   Clementine  ,ONTARIO,3,3.00 (2 0 1 0),2396,$1.04,"$2,500","$2,500",,"5,000",2018.0,7,33.9835404,-117.5888355,
,01/04/2020,Leased,16.0,AR19274606MR,1455,LSE,LD,11040   San Rafael WAY ,MONTCLAIR,2,2.00 (2 0 0 0),1104,$1.81,"$2,000","$2,000",,"1,104",1985.0,29,34.0535235,-117.6930886,
,12/11/2019,Leased,18.0,AR19275612MR,469,LSE,LD,2777   Fina ST ,POMONA,3,4.00 (3 0 1 0),1840,$1.41,"$2,600","$2,600",,"23,955",2017.0,6,,,
,02/02/2020,Leased,10.0,AR19279150MR,469,LSE,LD,1420   Cobblestone LN ,POMONA,3,3.00 (3 0 0 0),1616,$1.33,"$2,150","$2,150",,"18,228",2009.0,45,34.078431,-117.721334,
,01/27/2020,Leased,19.0,AR20006586MR,469,LSE,LD,706   Banyan WAY ,POMONA,3,3.00 (2 0 1 0),1500,$1.57,"$2,350","$2,350",,"32,719",2018.0,12,34.07100805,-118.41515489412436,
,04/01/2020,Leased,15.0,AR20007017MR,1543,LSE,LD,758   Corvette DR #4,ONTARIO,3,3.00 (1 1 1 0),1100,$1.64,"$1,800","$1,800",,"9,756",1990.0,78,34.07162,-117.5834785,
,02/23/2020,Leased,21.0,AR20011969MR,1543,LSE,LD,908  N Turner AVE #42,ONTARIO,2,2.00 (2 0 0 0),1382,$1.41,"$1,950","$1,950",,"1,492",1991.0,35,,,
,06/03/2020,Leased,35.0,AR20025404MR,487,LSE,LD,605  W 1st ST ,CLAREMONT,3,3.00 (2 0 1 0),1450,$2.07,"$3,000","$3,000",$310.00,"49,352",2006.0,100,34.0945822,-117.7189063,
