Open.Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths.FTHQ.,SqFt,LP...SqFt,LP,SP,HOD,Lot.Sz,YB,DOM,X..of.Units,Change.Date,latitude,longitude,unit_count,Units_used,Pred_Unit_Rent,GPR_Monthly,EGI_Monthly,EGI_Annual,Expense_Size_Band,Expense_Size_Multiplier,Est_Expense_per_Unit_Annual,Annual_Expenses_Total,NOI_Monthly,NOI_Annual,Price_Used,Cap_Rate,Cap_Rate_Pct,Vacancy_Assumed,Benchmark_Base_perUnit_Annual,Benchmark_Notes
,7.0,21-781180,469,INC,S,1158  W 10Th St ,Pomona,6.0,3.00 (0 0 0 0),1904.0,$365.02,"$695,000","$695,000",,"9,311",1965.0,45,3.0,02/07/2022,34.0501262,-117.7642396,,3.0,1862.04,5586.12,5306.813999999999,63681.768,<50,1.18,10030.0,30090.0,2799.314,33591.768,695000,0.048333479136690644,4.833347913669065,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,10.0,21-789932,1543,INC,S,716  W Phillips ST ,ONTARIO,30.0,45.00 (0 0 0 0),17070.0,$301.70,"$5,150,000","$5,250,000",,"46,282",1984.0,87,15.0,12/29/2021,34.0497502,-117.6611072,,15.0,2049.97,30749.549999999996,29212.072499999995,350544.86999999994,<50,1.18,10030.0,150450.0,16674.572499999995,200094.86999999994,5250000,0.03811330857142856,3.811330857142856,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,20.0,22-127753,1543,INC,S,1225  N EL DORADO AVE ,ONTARIO,16.0,22.00 (0 0 0 0),11168.0,$353.69,"$3,950,000","$3,750,000",,"28,416",1968.0,48,17.0,06/06/2022,34.0803285,-117.6248244,,17.0,1564.54,26597.18,25267.321,303207.852,<50,1.18,10030.0,170510.0,11058.154333333334,132697.852,3750000,0.03538609386666667,3.538609386666667,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,18.0,22-128131,1795,INC,S,455  S CAMPUS AVE ,UPLAND,26.0,26.00 (0 0 0 0),16388.0,$292.90,"$4,800,000","$4,582,644",,"31,500",1986.0,4,18.0,04/22/2022,34.0881479,-117.6414698,,18.0,1817.82,32720.76,31084.721999999998,373016.664,<50,1.18,10030.0,180540.0,16039.722,192476.664,4582644,0.04200122549340511,4.200122549340511,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,5.0,22-134455,1543,INC,S,827  N PALMETTO AVE ,ONTARIO,17.0,14.00 (0 0 0 0),10210.0,$342.80,"$3,500,000","$3,500,000",,"12,640",1966.0,61,14.0,05/21/2022,34.0726754,-117.6687473,,14.0,1725.37,24155.18,22947.421,275369.05199999997,<50,1.18,10030.0,140420.0,11245.75433333333,134949.05199999997,3500000,0.03855687199999999,3.8556871999999993,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,39.0,22-154355,1455,INC,S,4661   KINGSLEY ST ,MONTCLAIR,4.0,2.00 (0 0 0 0),1728.0,$436.92,"$755,000","$735,000",,"7,137",1964.0,136,2.0,10/26/2022,34.0667205,-117.7035363,,2.0,2026.17,4052.34,3849.723,46196.676,<50,1.18,10030.0,20060.0,2178.0563333333334,26136.676,735000,0.035560103401360545,3.5560103401360545,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,25.0,22-160265,1455,INC,S,5125   BANDERA ST #A-L,MONTCLAIR,24.0,12.00 (0 0 0 0),10044.0,$433.09,"$4,350,000","$4,321,500",,"30,800",1963.0,147,12.0,11/02/2022,34.064976,-117.6932194,,12.0,1957.93,23495.16,22320.402,267844.82399999996,<50,1.18,10030.0,120360.0,12290.401999999996,147484.82399999996,4321500,0.03412815550156195,3.4128155501561954,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,17.0,22-190707,1795,INC,S,165   Wiseman Way ,Upland,10.0,6.00 (0 0 0 0),4109.0,$350.21,"$1,439,000","$1,363,000",,"16,861",1985.0,28,4.0,10/27/2022,34.0957043,-117.6556894,,4.0,2203.03,8812.12,8371.514000000001,100458.168,<50,1.18,10030.0,40120.0,5028.180666666667,60338.168000000005,1363000,0.04426864856933236,4.426864856933236,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,1.0,220002580SD,469,INC,S,826   Gordon St ,Pomona,5.0,3.00 (0 0 0 0),,$0,"$649,900","$570,000",,"13,096",,7,2.0,03/03/2022,34.0658623,-117.7535049,,2.0,2180.97,4361.94,4143.843,49726.115999999995,<50,1.18,10030.0,20060.0,2472.176333333333,29666.115999999995,570000,0.05204581754385964,5.204581754385964,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
,34.0,6600PF,1543,INC,S,522  E State ST ,ONTARIO,,2.00 (0 0 0 0),1312.0,$342.99,"$450,000","$450,000",$0.00,"6,160",1924.0,91,2.0,01/28/2022,34.0599916,-117.64546,,2.0,1909.68,3819.36,3628.392,43540.704,<50,1.18,10030.0,20060.0,1956.725333333333,23480.703999999998,450000,0.052179342222222216,5.217934222222222,0.05,8500.0,IE metro per-unit OPEX baseline with size scaling; no city adjustment.
